model_id,model_name,family,language,total_items,correct_items,accuracy_pct,basic_comprehension_pct,numerical_comprehension_pct,instruction_following_pct,factual_understanding_pct,evaluation_mode
llama_3_1_8b,Llama-3.1-8B-Instruct,Llama,en,4,0,0.0,0.0,0.0,0.0,0.0,mock
llama_3_1_8b,Llama-3.1-8B-Instruct,Llama,hi,4,0,0.0,0.0,0.0,0.0,0.0,mock
llama_3_1_8b,Llama-3.1-8B-Instruct,Llama,es,4,0,0.0,0.0,0.0,0.0,0.0,mock
qwen3_8b,Qwen3-8B,Qwen,en,4,0,0.0,0.0,0.0,0.0,0.0,mock
qwen3_8b,Qwen3-8B,Qwen,hi,4,0,0.0,0.0,0.0,0.0,0.0,mock
qwen3_8b,Qwen3-8B,Qwen,es,4,0,0.0,0.0,0.0,0.0,0.0,mock
qwen_2_5_7b,Qwen2.5-7B-Instruct,Qwen,en,4,0,0.0,0.0,0.0,0.0,0.0,mock
qwen_2_5_7b,Qwen2.5-7B-Instruct,Qwen,hi,4,0,0.0,0.0,0.0,0.0,0.0,mock
qwen_2_5_7b,Qwen2.5-7B-Instruct,Qwen,es,4,0,0.0,0.0,0.0,0.0,0.0,mock
gemma_3_4b,Gemma-3-4B-IT,Gemma,en,4,0,0.0,0.0,0.0,0.0,0.0,mock
gemma_3_4b,Gemma-3-4B-IT,Gemma,hi,4,0,0.0,0.0,0.0,0.0,0.0,mock
gemma_3_4b,Gemma-3-4B-IT,Gemma,es,4,0,0.0,0.0,0.0,0.0,0.0,mock
gemma_3_12b,Gemma-3-12B-IT,Gemma,en,4,0,0.0,0.0,0.0,0.0,0.0,mock
gemma_3_12b,Gemma-3-12B-IT,Gemma,hi,4,0,0.0,0.0,0.0,0.0,0.0,mock
gemma_3_12b,Gemma-3-12B-IT,Gemma,es,4,0,0.0,0.0,0.0,0.0,0.0,mock
aya_expanse_8b,Aya-Expanse-8B,Aya,en,4,0,0.0,0.0,0.0,0.0,0.0,mock
aya_expanse_8b,Aya-Expanse-8B,Aya,hi,4,0,0.0,0.0,0.0,0.0,0.0,mock
aya_expanse_8b,Aya-Expanse-8B,Aya,es,4,0,0.0,0.0,0.0,0.0,0.0,mock
command_r7b,Command-R7B,Command,en,4,0,0.0,0.0,0.0,0.0,0.0,mock
command_r7b,Command-R7B,Command,hi,4,0,0.0,0.0,0.0,0.0,0.0,mock
command_r7b,Command-R7B,Command,es,4,0,0.0,0.0,0.0,0.0,0.0,mock
bloomz_7b1_mt,BLOOMZ-7B1-MT,BLOOMZ,en,4,0,0.0,0.0,0.0,0.0,0.0,mock
bloomz_7b1_mt,BLOOMZ-7B1-MT,BLOOMZ,hi,4,0,0.0,0.0,0.0,0.0,0.0,mock
bloomz_7b1_mt,BLOOMZ-7B1-MT,BLOOMZ,es,4,0,0.0,0.0,0.0,0.0,0.0,mock
mt0_xl,mT0-XL,mT0,en,4,0,0.0,0.0,0.0,0.0,0.0,mock
mt0_xl,mT0-XL,mT0,hi,4,0,0.0,0.0,0.0,0.0,0.0,mock
mt0_xl,mT0-XL,mT0,es,4,0,0.0,0.0,0.0,0.0,0.0,mock
